channel,cell_type,sta_p2p,sta_psnr,reg_sta_p2p,reg_sta_psnr
12a,ON-OFF,0.08998997530501968,6.3846765601925135,0.0345479294823387,8.209756821902573
12b,ON-OFF,0.11712538226299693,7.418851530260915,0.05784258515691333,8.743034947366523
13a,ON-OFF,0.12320339432511271,7.599730856360236,0.0514812415148902,10.110568860087891
13b,Unknown,0.14241866175567833,9.493585256303797,0.061002416926279064,12.933575913984086
14a,ON,0.09804170099499335,6.854423180491231,0.04225881416464955,8.352727163565135
14b,Unknown,0.10556875606572738,7.40720705597495,0.044894011956462115,10.19115410554836
16a,ON-OFF,0.08997522949147603,6.518310465452286,0.03481595994255675,8.525400696546276
16b,ON,0.1788160469667319,9.864285022571247,0.0853356411100237,10.237667325123288
17a,ON,0.10080363382250175,7.002164456305789,0.04976584195230305,8.337060247070006
17b,ON,0.12684415804646432,8.258873172340088,0.04665912006411245,8.510624771770875
17c,ON,0.1690129829501017,9.07329190348122,0.07410922069052035,9.074825001629598
17d,ON-OFF,0.16177351707609347,8.955255559272734,0.06823525757790684,8.426327823048501
17e,Unknown,0.185589519650655,7.072895428658745,0.1366417279724378,8.199250790328032
21a,ON-OFF,0.0947365459286076,6.527206491314156,0.03899999914649524,8.975065754963655
22a,ON-OFF,0.10257615877651019,6.800782993923406,0.048260657422892775,8.386850981875773
23a,Unknown,0.09453079229417238,6.661757908853179,0.04443959823286099,10.607598982059208
23b,ON,0.11254908961085326,7.788584146028394,0.04793372500986144,10.881453432086532
24a,ON,0.12317944660122154,8.17756397241849,0.04558005668224466,9.551683457488828
24b,ON,0.12241999621283847,8.318038532463296,0.04625890203265669,9.699363572822303
25a,ON-OFF,0.1003003003003003,7.054936799017988,0.04267344255901112,10.210788585637111
25b,Unknown,0.13179712265301147,8.377689798923635,0.06374157984762133,13.488504537759118
26a,ON-OFF,0.0897791588059039,6.406617996984726,0.03544626133174124,8.586189086048146
26b,ON,0.09503342884431709,6.611203766889022,0.041805508712319826,7.947187456410603
28a,ON,0.09904455586037272,6.877138869966168,0.04933466330600758,10.356557892402748
28b,ON-OFF,0.16593549435372493,9.317323765131645,0.056599092520140545,9.98792278639818
31a,ON,0.11450774977459105,7.003515040310819,0.05268960725470663,8.610166366232244
31b,ON,0.09778758492538181,6.592342823747183,0.03749868772568592,7.698779842228354
31c,ON,0.12883435582822086,8.368853628726102,0.04866591119988799,10.000246855119583
32a,ON-OFF,0.09246157260973309,6.624319410992979,0.03439399351694759,8.520055123857883
32b,ON,0.1104589114194237,7.408542502220586,0.03579380988327917,7.775693514929147
33a,ON-OFF,0.09777754147171416,6.492676598919508,0.04318869115619613,7.761995238285928
33b,Unknown,0.1653017412737537,10.235026473454582,0.09085005035448274,16.31763303156984
34a,ON,0.11089850912859762,7.656421850993,0.03906012187951466,8.855383762306454
34b,ON,0.11321753450439147,7.93153804387086,0.04085063601616947,9.61703901856434
35a,OFF,0.09007443450053582,6.492337115436525,0.03146782914249115,8.018913808437437
35b,ON-OFF,0.09568562524347488,6.752800149301702,0.03735208795602116,7.990392738745449
36a,OFF,0.10197465369879163,7.136465932589046,0.04233131920047773,8.051266111147173
36b,ON-OFF,0.09462915601023017,6.725107001697451,0.04147991939778403,8.797162574225258
37a,Unknown,0.0904232578024797,6.5177773423104775,0.034072676017260536,8.464701762198484
37b,Unknown,0.10384021187375855,7.130843117807579,0.04577470287000629,8.338007236313485
38a,Unknown,0.09355010660980811,6.513046027588405,0.042648565985606984,8.497080024696437
38b,ON,0.09870641169853768,6.910182154481139,0.040025415819640635,7.849365650426844
41a,ON-OFF,0.09334555141988021,6.533542841621204,0.03595424844901661,8.315597603376627
41b,ON,0.10222107680052481,6.905175461450022,0.03518521379862269,7.751469373502226
42a,ON-OFF,0.1052781100478469,6.891614060094629,0.042608178475739486,7.8113776491007645
42b,ON,0.11923119901664991,7.9246243463977475,0.03987555902113322,9.131539820274035
43a,ON-OFF,0.09891994776796584,6.897026909345866,0.0383088761231816,7.3781981231023295
43b,ON,0.2998046875,14.329184549538647,0.1522641520939629,16.212655367795136
43c,Unknown,0.1640203137053227,10.523270081178818,0.07654506643347445,15.164232797793856
46a,OFF,0.09230318084592562,6.63791835827819,0.030581176780265642,7.867617608950405
46b,ON-OFF,0.10483344219464402,7.010551913389239,0.04680628344700255,7.7801658274628
46c,ON,0.17395626242544732,7.10423686638763,0.10160969732634248,7.927754068013561
46d,Unknown,0.14002333722287047,7.701608672166064,0.07648132364845037,7.816515783859265
47a,ON,0.08720534282387574,6.3034005589085425,0.03110919440909197,8.134350824862802
47b,ON,0.10526315789473684,7.180741028001074,0.047966734714759346,8.24284159964233
51a,OFF,0.13035138042309072,8.883940615249632,0.04713468977404925,11.375020571692035
51b,ON-OFF,0.10043476948159777,6.84958770657923,0.04213738556055616,8.844206791862685
52a,OFF,0.08937796520822351,6.253793220470846,0.04569840603685146,10.611833570262606
52b,ON-OFF,0.09555534849049571,6.642781635442204,0.03647478625076782,8.24576426264087
52c,ON-OFF,0.1026199570303175,6.962777602701902,0.0374905376494251,7.786542381585299
55a,Unknown,0.08932567870000974,6.432900590865175,0.03243322457448329,8.363833531339283
55b,ON,0.09699312714776633,6.874670832216265,0.04318362454203127,8.12157877439822
56a,ON,0.08931089592930339,6.440499100804911,0.03283503802122862,8.402167501382847
56b,ON,0.09684452094090648,6.8217560826374175,0.03762480720672065,8.105909692592862
57a,Unknown,0.09185082872928177,6.4901796091613075,0.03565466890818023,8.184663451464983
57b,Unknown,0.09247683893291661,6.49508976372899,0.03671282810077224,7.89829960074591
57c,Unknown,0.10188398611799704,7.186064681270831,0.03984614848131375,8.126948273497792
61a,ON-OFF,0.10305745914602003,7.1963259178787045,0.03694062202462346,8.317124987261241
61b,ON,0.10522555623596652,7.199710926244571,0.04346175623322088,9.26634865874862
61c,ON,0.284366576819407,10.518773113036731,0.12981641272686786,10.805357750540148
61d,ON,0.12134502923976609,7.183261719122442,0.06968070814069069,8.280484748634665
62a,ON-OFF,0.08812360387192852,6.022696099016011,0.03487266766699442,8.237406752003354
62b,ON-OFF,0.0907919739766176,6.335666088176606,0.03537536733228121,8.52215989456317
63a,ON,0.090793991416309,6.521383926584655,0.03399301112930632,8.461219122895685
64a,ON,0.09304824723930927,6.5703234766063465,0.03446467366236644,7.887456618745096
64b,ON-OFF,0.09793591224018475,6.4529099481779,0.04986686842905262,8.567454694396254
67a,ON-OFF,0.09090667234223689,6.492178089735136,0.03654451845329627,8.35651782199321
67b,ON,0.14966389877421907,8.775614427574466,0.06907393787282778,8.891547546060817
67c,Unknown,0.36764705882352944,7.610985545341216,0.3514346876988001,7.687463978037944
68a,ON-OFF,0.08975013340138738,6.45182532590722,0.03304437928734952,8.131042085510074
68b,ON-OFF,0.09743392915889901,6.578579120305416,0.044296084759760095,8.323973406358764
71a,ON,0.09531868510125638,6.841460891643439,0.03452187617730654,7.946175963554461
71b,Unknown,0.09245265631479518,6.659513590273719,0.03468591132924065,8.327112626816286
71c,Unknown,0.09611468599820804,6.675475918221998,0.03950466483235225,8.38333003026912
76a,ON-OFF,0.09670008760829359,6.719050060954766,0.031689537462082765,7.677782458406854
76b,ON,0.1360751124041259,7.924415833217477,0.05374167408301842,8.354522627912331
77a,OFF,0.18344617988766637,11.027288384670886,0.10633558462910365,18.788512569938902
77b,Unknown,0.09426334001092697,6.581083880974817,0.03959611769408555,7.967768812203081
77c,ON,0.097349709114415,6.791744784291292,0.03520457977817332,7.8619180463854255
78a,ON-OFF,0.10333275664113492,6.995652507013645,0.06268977548927107,13.300530586804134
78b,ON,0.2737431570488674,13.138351907963564,0.1697748806783403,16.89549470720948
83a,ON-OFF,0.09629027890603845,6.728091154424877,0.03901931321797668,9.496406053675907
83b,ON,0.10497032640949555,7.171855837954772,0.04066919283219299,7.86568561732812
84a,OFF,0.10244778742762614,7.106834141950692,0.03993983564220995,9.731951953930269
84b,ON,0.08827044025157232,6.3322794772488775,0.03361089423136113,8.080397994543823
84c,ON-OFF,0.09964285714285714,6.98953923036829,0.036726538793413636,7.887166796087747
85a,ON,0.09212875939849624,6.617679551938223,0.03145695761147031,7.970479981035135
85b,Unknown,0.10236856271308092,7.114288174659325,0.04707290967439316,9.198536450779883
86a,OFF,0.13245535079823773,9.056012919071204,0.05331930164879453,12.499921650230354
86b,ON,0.11045444534175172,7.583038245260128,0.05045603252097776,9.340497637644637
87a,ON-OFF,0.11086171991902122,7.4179509664700785,0.05187632325514867,10.248461055177572
87b,Unknown,0.15515188834154353,10.567415128089351,0.08648502286542735,17.831180609674067
