channel,cell_type,sta_p2p,sta_psnr,reg_sta_p2p,reg_sta_psnr
55b,ON,0.19680743584562538,6.733588131828212,0.025596310341900807,8.916331153172607
56a,ON,0.18015414258188825,6.513525236304219,0.01671723269937892,8.5235699735934
56b,ON,0.1826189078097475,6.580900386654609,0.02012678720389756,8.504615158612685
57a,Unknown,0.173904421971049,6.225135193711795,0.018049808655446663,7.98536479980173
57b,Unknown,0.18883610451306412,6.665035979950548,0.019947180862539885,8.327879624468281
57c,Unknown,0.18463775139326388,6.576604779846426,0.019766236283290967,8.636726442956729
61a,ON-OFF,0.23988725150825835,7.604126420696442,0.023453655262733894,9.558712762222966
61b,ON,0.2755693874664026,8.337423063170764,0.02822765489523115,10.288385503404719
61c,ON,0.6626180836707153,11.34952765043275,0.09418122241650173,13.775864958590635
61d,ON,0.32202662086732503,8.4292907851671,0.035088818261879776,8.297070073183544
62a,ON-OFF,0.2202624220262422,7.189001525622392,0.023943779411828528,10.578671855675179
62b,ON-OFF,0.18732084846168545,6.187194306573942,0.02279763310815543,9.317437644489628
63a,ON,0.19021041369472183,6.63868324335196,0.019082087065879,8.986145655670088
64a,ON,0.1934229378453981,6.833874427951125,0.017393855991723904,7.845469978988867
64b,ON-OFF,0.23526682134570764,7.347625472815349,0.027371864925626085,8.649797790363067
67a,ON-OFF,0.18269615025975755,6.565353568916728,0.018610410647800342,8.545908177236573
67b,ON,0.4036343612334802,8.712619406253001,0.046335648556392564,8.909359836612904
67c,Unknown,1.0,5.6230594028012115,0.3830338820996523,8.324055009900887
68a,ON-OFF,0.17721141664803636,6.352823544484505,0.015902873984821916,7.6805889471027395
68b,ON-OFF,0.18494055482166447,6.314297462463248,0.024104787723097473,8.5593825755356
71a,ON,0.2000280445908995,6.789532545516525,0.02088229538322233,8.68238944840159
71b,Unknown,0.19829993174908483,6.969266872837212,0.018250876284413384,7.773138287876644
71c,Unknown,0.20415504991456068,6.6960509221724145,0.022249965973738677,8.12722481740838
76a,ON-OFF,0.19352642653793786,6.819817729716048,0.016309449379217883,7.743698185856261
76b,ON,0.33463035019455256,8.71458810514242,0.032391371515072265,8.650984486436542
77a,OFF,0.40296920008863285,11.684282754929109,0.06002084221761225,19.32445776727468
77b,Unknown,0.22802675233029648,7.1404135122833905,0.027824940011638766,8.224400975175891
77c,ON,0.21124948839384902,7.015146607438718,0.02077241970538261,7.974794464356502
78a,ON-OFF,0.25033763708065476,8.211867590651892,0.03437791004597981,13.808992470448667
78b,ON,0.5881893047013447,13.167133495470098,0.10057367976126913,16.599076272799213
83a,ON-OFF,0.20666923504986945,7.120320225650625,0.020870260487561236,10.18982547255887
83b,ON,0.21283971159179144,7.282829242127395,0.021286913914429065,8.171441680207904
84a,OFF,0.28677877645694405,9.203496202113184,0.0361529752033679,15.483398920753569
84b,ON,0.18930390492359933,6.772047755512276,0.016037336347832176,7.689955797038944
84c,ON-OFF,0.19595326990244488,6.906181946486131,0.018572668905147457,7.856625292488466
85a,ON,0.1787144961620965,6.464740253941575,0.016294988721560377,8.009327519591878
85b,Unknown,0.22905759162303665,7.663797058948445,0.02783893491221693,8.281172753534861
86a,OFF,0.31379516720281286,10.183467344313774,0.031103048512189674,14.19112781159458
86b,ON,0.24966393332437156,8.139633072783182,0.02555054060974913,9.080081717716261
87a,ON-OFF,0.2577027360118314,8.222792026656458,0.02404956483653884,9.216878886165997
87b,Unknown,0.5049887048192772,13.971048130145727,0.0728165997171813,18.93070141210797
